session,position,pair_id,player_prediction,player_correct,player_close_call,response_time_ms,legacy_primary_robot_prediction,legacy_primary_robot_correct,gemini_prediction,gemini_correct,gemini_close_call,gpt56_prediction,gpt56_correct,gpt56_close_call,qwen_max_prediction,qwen_max_correct,qwen_max_close_call,claude_prediction,claude_correct,claude_close_call,qwen_flash_prediction,qwen_flash_correct,qwen_flash_close_call,deepseek_prediction,deepseek_correct,deepseek_close_call
S008,19,240,Y,0,0,6215,Y,0,Y,0,0,Y,0,1,X,1,1,Y,0,1,X,1,0,X,1,0
S008,20,761,Y,0,0,9957,X,1,X,1,0,X,1,0,X,1,0,X,1,1,Y,0,0,X,1,0
S009,1,662,Y,1,0,42267,Y,1,Y,1,0,X,0,0,Y,1,1,X,0,1,X,0,0,Y,1,1
S009,2,664,X,1,0,41907,X,1,X,1,0,X,1,0,Y,0,0,Y,0,1,X,1,0,Y,0,1
S009,3,687,X,0,0,24131,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,Y,1,0,Y,1,1
S009,4,360,Y,1,0,9250,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0
S009,5,209,X,1,0,10332,Y,0,Y,0,0,X,1,0,X,1,0,Y,0,1,Y,0,1,Y,0,0
S009,6,256,X,1,0,12385,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,X,1,0
S009,7,853,Y,1,0,25617,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,1
S009,8,69,X,1,0,11872,Y,0,Y,0,1,X,1,0,X,1,0,X,1,1,X,1,0,X,1,1
S009,9,476,Y,0,0,36043,X,1,X,1,0,X,1,0,X,1,0,X,1,0,X,1,0,X,1,0
S009,10,913,X,0,0,31764,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,1
S009,11,77,Y,1,0,37109,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,Y,1,0,Y,1,0
S009,12,704,X,1,0,24011,Y,0,Y,0,1,X,1,0,Y,0,1,X,1,1,X,1,0,X,1,1
S009,13,1072,Y,1,0,46278,X,0,X,0,1,Y,1,1,Y,1,0,X,0,1,X,0,1,Y,1,1
S009,14,498,Y,1,0,38999,X,0,X,0,0,Y,1,0,X,0,0,X,0,1,X,0,0,Y,1,1
S009,15,582,Y,0,0,60464,Y,0,Y,0,1,X,1,0,Y,0,0,Y,0,1,X,1,0,Y,0,0
S009,16,302,Y,1,0,21087,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,X,0,0,Y,1,0
S009,17,646,X,0,0,14766,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,X,0,1
S009,18,753,X,0,0,18882,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,X,0,0,X,0,1
S009,19,427,X,1,0,20312,X,1,X,1,1,Y,0,0,Y,0,0,X,1,1,X,1,0,X,1,1
S009,20,781,X,0,0,17704,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,Y,1,0,Y,1,1
S010,1,918,Y,0,0,56090,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,Y,0,1
S010,2,31,X,1,0,17843,X,1,X,1,0,X,1,0,X,1,0,X,1,0,X,1,0,X,1,0
S010,3,653,Y,1,0,33287,Y,1,Y,1,1,X,0,1,Y,1,1,Y,1,1,Y,1,0,Y,1,1
S010,4,1105,Y,1,0,27045,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,Y,1,0,Y,1,1
S010,5,1061,X,1,0,31512,Y,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,Y,0,0,Y,0,1
S010,6,381,X,0,0,25761,Y,1,Y,1,0,X,0,0,X,0,1,X,0,1,X,0,0,X,0,0
S010,7,106,Y,1,0,16552,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0
S010,8,1122,X,0,0,30310,X,0,X,0,0,X,0,1,X,0,0,X,0,1,X,0,0,X,0,1
S010,9,292,Y,0,0,20202,Y,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,Y,0,0,Y,0,0
S010,10,726,X,1,0,33288,X,1,X,1,1,X,1,1,Y,0,1,Y,0,1,Y,0,0,Y,0,1
S010,11,1138,X,0,0,18199,X,0,X,0,0,Y,1,1,X,0,0,X,0,0,X,0,1,X,0,1
S010,12,683,X,1,0,10882,X,1,X,1,0,X,1,0,X,1,0,X,1,0,X,1,0,X,1,1
S010,13,986,Y,1,0,39443,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,1
S010,14,89,Y,0,0,53293,X,1,X,1,0,Y,0,1,X,1,1,Y,0,1,X,1,0,Y,0,1
S010,15,416,Y,0,0,34386,X,1,X,1,1,X,1,0,X,1,0,X,1,1,Y,0,0,Y,0,0
S010,16,834,Y,0,0,20201,Y,0,Y,0,1,Y,0,0,Y,0,0,Y,0,1,Y,0,0,Y,0,1
S010,17,1107,X,1,0,17790,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,X,1,1
S010,18,484,X,0,0,8952,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,Y,1,0,Y,1,1
S010,19,863,Y,1,0,22936,Y,1,Y,1,0,Y,1,1,Y,1,0,Y,1,1,Y,1,0,X,0,1
S010,20,154,X,0,0,12924,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,X,0,0,X,0,0
S011,1,535,Y,1,0,26859,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,X,0,0,Y,1,1
S011,2,1109,X,1,0,15559,X,1,X,1,0,X,1,0,X,1,0,X,1,1,Y,0,0,X,1,1
S011,3,52,Y,0,0,8043,Y,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,Y,0,0,Y,0,0
S011,4,47,Y,0,0,9501,X,1,X,1,1,X,1,0,X,1,0,X,1,1,X,1,0,X,1,1
S011,5,811,X,0,0,6840,Y,1,Y,1,1,Y,1,1,X,0,0,X,0,1,X,0,0,X,0,1
S011,6,183,X,0,0,5420,Y,1,Y,1,0,X,0,0,X,0,0,X,0,1,X,0,0,X,0,1
S011,7,255,X,0,0,8770,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,Y,1,0,Y,1,0
S011,8,151,Y,1,0,4500,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0
S011,9,783,X,0,0,6034,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,Y,1,0,Y,1,1
S011,10,139,Y,0,0,10135,X,1,X,1,1,X,1,0,X,1,0,X,1,1,Y,0,0,X,1,1
S011,11,268,X,1,0,12241,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,X,1,0
S011,12,247,X,1,0,6075,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,X,1,1
S011,13,132,X,1,0,4793,X,1,X,1,0,X,1,1,Y,0,1,X,1,1,Y,0,1,X,1,1
S011,14,1027,X,0,0,7220,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,X,0,1,X,0,1
S011,15,68,X,0,0,6891,Y,1,Y,1,1,Y,1,0,Y,1,0,X,0,1,X,0,0,X,0,1
S011,16,1033,Y,1,1,23034,Y,1,Y,1,0,Y,1,1,Y,1,0,Y,1,1,Y,1,0,X,0,1
S011,17,138,X,1,0,9243,X,1,X,1,0,X,1,0,X,1,0,X,1,1,Y,0,0,X,1,0
S011,18,438,Y,0,0,14318,X,1,X,1,0,X,1,0,Y,0,0,Y,0,1,Y,0,0,Y,0,0
S011,19,261,X,0,0,8804,Y,1,Y,1,0,X,0,0,Y,1,0,X,0,1,X,0,0,X,0,0
S011,20,988,X,1,0,6044,X,1,X,1,0,X,1,1,X,1,1,X,1,1,X,1,0,Y,0,1
S012,1,919,Y,1,0,5045,X,0,X,0,1,X,0,1,Y,1,0,Y,1,1,Y,1,1,X,0,1
S012,2,253,X,1,0,4470,X,1,X,1,0,X,1,0,X,1,1,X,1,1,Y,0,0,X,1,1
S012,3,954,X,1,0,10211,X,1,X,1,0,X,1,0,X,1,0,X,1,1,Y,0,0,X,1,1
S012,4,635,X,0,0,2398,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,Y,1,0,Y,1,1
S012,5,228,X,1,0,1634,Y,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0
S012,6,1089,Y,1,0,1374,Y,1,Y,1,1,Y,1,1,Y,1,0,Y,1,1,X,0,0,X,0,1
S012,7,385,Y,0,0,1494,X,1,X,1,0,X,1,0,X,1,0,X,1,0,X,1,0,X,1,0
S012,8,51,X,1,0,1301,Y,0,Y,0,1,Y,0,0,Y,0,0,Y,0,1,Y,0,0,Y,0,1
S012,9,303,Y,0,0,1932,X,1,X,1,1,X,1,1,Y,0,0,Y,0,1,Y,0,0,Y,0,1
S012,10,656,X,0,0,1534,X,0,X,0,1,Y,1,1,X,0,0,X,0,1,X,0,0,X,0,1
