pair_id,X,Y,correct_answer,winner_reposts,loser_reposts,repost_margin,winner_loser_ratio,publication_gap_hours,handle,target,source_a_uri,source_b_uri
7a180eb5a0aef28e,"『戦争犯罪を罰しなければ国民は過去の犯罪を忘れず、過去に生きることになる。犯罪に対処すれば、国の再建を始められる』

日本がまさにそうなっている。
太平洋戦争の戦争犯罪にきちんと向き合わなかったから、80年経ったのにまだ大日本帝国のままだ。

news.jp/i/1425310523...","『真実が語られるのが重要だ』と言い、『こういうことが起きた』とみんなが承認できる事実認定があれば、市民は前進できる

news.jp/i/1425310523...",X,124,1,123,124.0,0.2678,komainukiratazaka.bsky.social,news.jp/i/1425310523326824480,at://did:plc:3qlbh4vywekida64m3dvna37/app.bsky.feed.post/3mu277n42ik2w,at://did:plc:3qlbh4vywekida64m3dvna37/app.bsky.feed.post/3mu2a4emv7s2w
7a96bdecc4fe6b67,"⭐ Atelier Fabrication de purificateurs d'air !
il aura lieu le samedi 5 septembre au festival #509PPM
🔥 Retrouvez les préventes du festival à prix libre ici : www.helloasso.com/as...","⭐ Table ronde communiquée : ""vivre avec, qui en paie le prix?"" 
Elle aura lieu le le samedi 05 septembre 17h, au festival #509PPM
🔥 Retrouvez les préventes du festival à prix libre ici : www.helloasso.com/as...",Y,24,9,15,2.6667,5.5406,winslowsp.bsky.social,helloasso.com/associations/winslow-sante-publique/evenements/509-ppm-prevention-politique-musique,at://did:plc:eur2p72373ai6zpc3rhzvpsv/app.bsky.feed.post/3mu2mvjjccn25,at://did:plc:eur2p72373ai6zpc3rhzvpsv/app.bsky.feed.post/3mu37hwpek724
a4158652b8d568a0,"TOKYO GAME SHOW 2026
⚙ファルコム出展情報⚙
「空の軌跡 the 2nd」
遊撃士協会TGS支部オープン！

🎁ご来場いただいた方に
「ぷにぷに缶バッジ」をプレゼント
📷原寸大武器と撮影ができるフォトブースも！

▼詳細はこちら
www.falcom.co.jp/sora2/specia...
#TGS2026 #sora2nd #空の軌跡","───────────━
東京ゲームショウ2026
━───────────

『空の軌跡 the 2nd』展示・フォトブースでは、
エステル＆ヨシュアの公式コスプレイヤーとして
kipiさん、おじぎさんが登場します✨

※原寸大武器を手に取って撮影をお楽しみいただくことも可能です📷

出展情報はこちら
▷ www.falcom.co.jp/sora2/specia...
#空の軌跡 #sora2nd #TGS2026",X,13,3,10,4.3333,0.2498,falcom.co.jp,falcom.co.jp/sora2/special/tgs.html,at://did:plc:a62d6gt7y5ya2pkesufdporv/app.bsky.feed.post/3mtzz2pq6y22a,at://did:plc:a62d6gt7y5ya2pkesufdporv/app.bsky.feed.post/3mtzzvjbly225
dfe81560c03d66f8,"Nothing says “we believe in democracy” like trying to scare people out of participating in it. @azsecretary.bsky.social stopped by LS to discuss voter intimidation and the battle to keep elections free and fair.

https://bit.ly/4xkAFUt

Subscribe to watch The @frankfigliuzzi.bsky.social Show","Todd Blanche went from Trump’s defense attorney to the deciding Epstein files redactions.  

https://bit.ly/4xkAFUt

@katiephang.bsky.social stopped by Lincoln Square to discuss the Epstein files and America’s two-tiered justice system with @stevenbeschloss.bsky.social on Six Questions.  Subscribe!",Y,10,4,6,2.5,10.5906,lincolnsquare.media,bit.ly/4xkAFUt,at://did:plc:y6bpqeb35iqkw6bsn3g2j6pz/app.bsky.feed.post/3mtzzl2luvz2w,at://did:plc:y6bpqeb35iqkw6bsn3g2j6pz/app.bsky.feed.post/3mu353cntlt2d
2c6e492f00a9e196,A Navy sailor with two days ashore in nine months found out on a Saturday that Border Patrol had taken his father. His dad was dropping the car off at the mechanic.,"A Senate candidate called Pete Hegseth the unofficial sixth host of ""The Five."" On Fox. To Fox's own audience.

www.dworkinsubstack.com/p/trump-came...",X,28,10,18,2.8,0.019,dworkin.bsky.social,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34rsxsms2m,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34tu6qu22m
c3484a9e73fb907c,"Huh. Ethan Zuckerman to McGill is a surprise (to me anyway). 

www.theglobeandmail.com/canada/artic...","Had a recent conversation with a prominent science policy person who wondered whether these scholars will remain in Canada or return to the U.S. if/when U.S. politics renormalize. 

Permanent poaching or extended visiting scholars program?

www.theglobeandmail.com/canada/artic...",Y,8,0,8,inf,0.0569,dkmunro.bsky.social,theglobeandmail.com/canada/article-ottawa-taps-64-leading-scientists-and-scholars-to-bolster-canadian,at://did:plc:v62ecyjy45xbh7mlbvwy2g7n/app.bsky.feed.post/3mu2sxq2nss2r,at://did:plc:v62ecyjy45xbh7mlbvwy2g7n/app.bsky.feed.post/3mu2t5tevms2r
a2c9e9571521ab4f,"Com 20 reais, você ajuda a navinha a comprar novas ferramentas pra ampliar a linha de produtos e concorre a premios:","Ajudem a navinha a comprar novos equipamentos e ampliar a linha de produtos! Ao comprar um número na rifa, você concorre a uma arte personalizada e a cadernos da loja
Detalhe: o peixe @137magdiel.bsky.social cedeu os royalties para incluir os cadernos dele e apoiar essa campanha 😍
Obrigada pexe",X,19,4,15,4.75,10.4148,vostok.estudiovostok.com.br,rifa.digital/s/equipamentos-para-o-vostok/rhixF2Y0xDi,at://did:plc:7ysc3kheoofy6xt24qokd4y7/app.bsky.feed.post/3mtzqssgkp223,at://did:plc:7ysc3kheoofy6xt24qokd4y7/app.bsky.feed.post/3mu2tq6pq722r
f8932eb5a9caa8c6,"Wild accusations from Donald Trump and his minions; no facts; no case.  True in court cases, voting allegations, etc... Serial liars
open.substack.com/pub/contrari...","A regime that rails against “DEI,” decries “fake news,” and claims devotion to meritocracy has stocked its ranks with overwhelmingly white, incompetent sycophants who routinely fail to back up outlandish allegations with facts. Result: serial failure and humiliation
open.substack.com/pub/contrari...",Y,65,25,40,2.6,0.0593,jenrubin.bsky.social,open.substack.com/pub/contrarian/p/facts-trump-doesnt-need-no-stinkin?r=230tr,at://did:plc:6uimut56ihor2p6ubnepkudz/app.bsky.feed.post/3mu2tv2hlls2o,at://did:plc:6uimut56ihor2p6ubnepkudz/app.bsky.feed.post/3mu2u3g2zqc2l
a53e79dfff577c65,"She is a paid off flunky for the orange felon. A traitor to Alberta and to Canada. She doesn't deserve this office. Selling out to our enemy is treason. She needs to resign.
Her actions don't lie but she does.
disinfowatch.org/wp-content/u...","Smith is a traitor. She definitely doesn't have any loyalty towards Canada and our other provinces. Is she on our side?
disinfowatch.org/wp-content/u...",X,9,0,9,inf,0.0545,connieskp.bsky.social,disinfowatch.org/wp-content/uploads/2026/05/Alberta-and-Foreign-Interference-Report-Final-052026-web.pdf,at://did:plc:hijbeizbm5ege43fnm6aqhee/app.bsky.feed.post/3mtzrtlkihc2x,at://did:plc:hijbeizbm5ege43fnm6aqhee/app.bsky.feed.post/3mtzrzgt35k2x
e1a589042894448b,"This schematic summarizes what we're trying to get for these families, around 100 people or more in Gaza. They need tarps for shelter, replacement supplies like clothes (EVERYTHING was destroyed, imagine that!!!!), water tanks for the camp to be able to drink, and bathrooms. chuffed.org/project/erc","EMERGENCY 🚨 On Sunday, my friend was wounded in a bombing...the occupation wiped out a displacement camp of 25 families. They have lost EVERYTHING. This is a rapid relief effort for about a hundred people in Gaza.

Any and all boldness, even a dollar, is HOPE! chuffed.org/project/erc",Y,71,10,61,7.1,0.6178,divyampersaud.com,chuffed.org/project/erc,at://did:plc:7vb3nqbwxsgxzvukuddgttrw/app.bsky.feed.post/3mtzqszezuz2i,at://did:plc:7vb3nqbwxsgxzvukuddgttrw/app.bsky.feed.post/3mtzsvciw5s22
721e1de6e3e7b9c5,"""The youngest internet users are reaching a level of social media abstention that approaches that of the oldest age cohorts… This points to a bleak future for social media, but also towards a present where whole vital swathes of the population are definitionally not Extremely Online.""","“The epistemic and financial elite who spend all day online, exposing themselves to a pinhole view of screeching madness, and then using their power to drag that madness offline and into the lives of people who barely use social media.” www.liberalcurrents.com/extremely-on...",X,13,6,7,2.1667,3.026,liberalcurrents.com,liberalcurrents.com/extremely-online-2-0,at://did:plc:ifsuximqaivczh4fie2opnuk/app.bsky.feed.post/3mu2qcyh6cs2x,at://did:plc:ifsuximqaivczh4fie2opnuk/app.bsky.feed.post/3mu32hnaggk2d
a338b21e6c21ce4e," #hwww2-costory

“อย่าไปเล่นกับพวกตัวสกปรกสิโคโค่”

🔁 : ช่วยหาเพื่อน
🤍 : สนใจโค เดี๋ยวก๊อกๆ ไปนะคะ

ดอค : docs.google.com/document/d/1...

(สลิธีรินชั้นปีเดียวกันเนียนรู้จักได้เลยนะคะ ยังไงก็ฝากอีตาคนนิสัยเสียไว้ด้วยค่ะ 🙇🙇 ลูกนิสัยไม่ดีแต่ผปคไม่กัดค่ะ! สัญญา! 😞🤙)","#HWWW2_Pin

“เหม็นสาบเสียจริง”
“ไปให้พ้น”

Yves de Glace (17)
174 / 57 | เลือดบริสุทธิ์ | สลิธีริน ชั้นปีที่ 7

Info 🕊️—  docs.google.com/document/d/1...
dm, rp 24/7",Y,83,32,51,2.5938,0.9696,hwww2-yves.bsky.social,docs.google.com/document/d/1lzOyIyd-d7Zl6NS_T4lkUotyGowWMr-nGO05qupmdZE/edit?usp=drivesdk,at://did:plc:uk4m45qfhdzfim2ckqybtnql/app.bsky.feed.post/3mu2u6gt2y22q,at://did:plc:uk4m45qfhdzfim2ckqybtnql/app.bsky.feed.post/3mu2xghl3m227
5c9c6684eaa1a871,"Three months of Final Fantasy XIV, cut down to 39 minutes of laughter.

Pray, enjoy some Eorzean chuckles, before we begin Endwalker next week, eh? youtu.be/m8fraTW5pDI","So this goes live at 8 AM Pacfiic TIme

youtu.be/m8fraTW5pDI

You should click the bell so you get notified~",X,12,5,7,2.4,9.4037,amtrax.bsky.social,youtu.be/m8fraTW5pDI,at://did:plc:7dktlg2jitmjjfismzyxzq2g/app.bsky.feed.post/3mu2aqfcup224,at://did:plc:7dktlg2jitmjjfismzyxzq2g/app.bsky.feed.post/3mu3abccjsc2m
5cc2340d9451f5ae,"A federal judge ruled the FCC's 100-day silence was itself an answer. The answer was no. Tuesday. In the opinion.

www.dworkinsubstack.com/p/trump-came...","Abdul El-Sayed went on Fox News and told Jesse Watters to his face he hadn't asked a single question about Michigan. Monday night.

www.dworkinsubstack.com/p/trump-came...",Y,31,13,18,2.3846,0.0235,dworkin.bsky.social,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34jmvffc2m,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34m5jtmc2m
279981655ed06ddf,"Eine Superzelle in Frankreich bei Dole. Wir sind live und berichten auch über die Gewitter-Entwicklung bei uns am Abend und am Freitag.
www.youtube.com/watch?v=OSYM... /LD","Live! Gewitterlage bis Freitag - alle Infos - Blick nach Frankreich!

Gleich gehts los - direkt zum Stream bei Youtube:
www.youtube.com/watch?v=OSYM...
/FR",X,14,4,10,3.5,0.8311,kachelmannwetter.com,youtube.com/watch?v=OSYMM8-wL88,at://did:plc:efq5p3kzojiykjuowfzlaaa7/app.bsky.feed.post/3mu35emgzr22c,at://did:plc:efq5p3kzojiykjuowfzlaaa7/app.bsky.feed.post/3mu3a5ruwqs26
0a298ab0e0cb17f8,"There is only $25 left of Khalil's target today. Please help him reach it.
spot.fund/drb68q8sc","Khalil needs to raise another $140 to pay the rent on his tent today. He cannot raise enough to cover his rent and food and medical bills.  Please help in whatever way you can.
spot.fund/drb68q8sc",Y,18,4,14,4.5,8.9929,mcduff.bsky.social,spot.fund/drb68q8sc,at://did:plc:ajs44axlbhbcfeox6p25cjqs/app.bsky.feed.post/3mu27zsa4bc2p,at://did:plc:ajs44axlbhbcfeox6p25cjqs/app.bsky.feed.post/3mu366mqr2k24
0e3da3b4d99e4d1e,"Country roads, take me home. Studio Ghibli’s beloved classic WHISPER OF THE HEART comes to IMAX in the UK & Ireland starting 16 September!

Tickets on sale now
brnw.ch/21x5fM5","Yoshifumi Kondo’s timeless story of passion and inspiration, WHISPER OF THE HEART opens in IMAX cinemas in the UK & Ireland from 16 September.

Tickets on sale now
brnw.ch/21x5fM5",X,14,5,9,2.8,0.0211,gkids.com,brnw.ch/21x5fM5,at://did:plc:axd6rc7a663r6iua6vh7qfom/app.bsky.feed.post/3mu2zhjnmgk2l,at://did:plc:axd6rc7a663r6iua6vh7qfom/app.bsky.feed.post/3mu2zjrwoyc2l
47a851128ca2d101,"Arrest the current equivalent No 1 villain
Please sign this petition to arrest Netanyahu for war crimes
Please watch ""The Voice of Hind Rajab"" and understand how evil these ppl are
Bring your Kleenex because you'll shed a tear

secure.avaaz.org/campaign/en/...","Please sign this petition calling for Netanyahu's arrest for war crimes
It's already passed the 1 million mark
If you can please watch ""The Voice of Hind Rajab"" and don't forget Kleenex as I guarantee you'll she'd a tear

secure.avaaz.org/campaign/en/...",Y,9,0,9,inf,4.0954,toplandscaper.eurosky.social,secure.avaaz.org/campaign/en/justice_for_hind_rajab_rb_loc?copy=&referer_id=01a042737597752eac9e5b0d98e92f08&share_location=post_action,at://did:plc:gia6fkjy7gi5n7g24nhct4zw/app.bsky.feed.post/3mu2ihx42u225,at://did:plc:gia6fkjy7gi5n7g24nhct4zw/app.bsky.feed.post/3mu2w7dnros2e
cb5272120978471d,"🛎️NNNより【速報】です。

【速報】インフルエンザが早くも流行シーズン入り 過去10年で一番早い流行 北海道
(2026-08-27 16:26) #ニュース

😷感染症情報
🔗https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/infulenza/index.html","🛎️FNNより【速報】です。

【速報】インフルエンザ_札幌市で早くも”流行入り”発表_過去10年で最も早く_定点あたり1.12に_北海道も過去最速で流行入り_感染対策呼びかけ〈北海道札幌市〉<br />
(2026-08-27 17:00) #ニュース

😷感染症情報
🔗https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/infulenza/index.html",X,12,4,8,3.0,0.5725,sokuho.news,mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/infulenza/index.html,at://did:plc:flczgiu3a2jqmqlk54qnbf4c/app.bsky.feed.post/3mu2d2knwlh2d,at://did:plc:flczgiu3a2jqmqlk54qnbf4c/app.bsky.feed.post/3mu2exydval24
e658351a05104adb,"THIS IS STILL FUCKING NEEDED! IT'S JUST $60 FFS. 3 PEOPLE MATCHING MY $20 FROM EARLIER WOULD CLEAR THIS! HELP THEM!

paypal.me/LuneFae
cash.app/$RainLune93

#MutualAid #LGBTQMA #HelpFolksLive2026 #emergencyMA #disabilityMA #MutualAidSavesLives #DirectAidSavesLives #HelpSky #SkyAid 💕💸🏳️‍⚧️♿🚨‼️","This is at $20/$60 right now! Two matches of $20 or 4 matches of $10 clears this! HELP THEM

paypal.me/LuneFae
cash.app/$RainLune93

#MutualAid #LGBTQMA #HelpFolksLive2026 #emergencyMA #disabilityMA #MutualAidSavesLives #DirectAidSavesLives #HelpSky #SkyAid 💕💸🏳️‍⚧️♿🚨‼️",Y,10,5,5,2.0,1.0367,sparkshocker.bsky.social,cash.app/$RainLune93,at://did:plc:dy5gzjwxey5agldgerrdaxja/app.bsky.feed.post/3mtzsl6orc22r,at://did:plc:dy5gzjwxey5agldgerrdaxja/app.bsky.feed.post/3mtzw2fznws2r
074cc97adfff44ad,"40 / 158 ➡️ HOTEL DUE 11AM ET

break the halt for sabi & elderly mom, 
they *cannot* end up on the streets!

people matter.
so does action.
be a lifeline. 💸💕

ko-fi.com/sabilewsounds
paypal.me/SabiLewSounds
Linktree: sabilewsounds
🐇
venmo.com/toadlyturtle
cash.app/toadlyturtle
*Add note* ""Sabi""",""" Today's hotel stands at 40 unmet‼️

Sabina & elderly mom's hotel due 11AM ET‼️ ""

ko-fi.com/sabilewsounds
paypal.me/SabiLewSounds
linktr.ee/sabilewsounds
🐇
venmo.com/toadlyturtle
cash.app/$toadlyturtle
*Add note* ""Sabi""

action matters.
people do too.
be a lifeline. 💸💕",X,9,4,5,2.25,9.2119,midnight0wl.bsky.social,venmo.com/toadlyturtle,at://did:plc:jwsylb6dmzjkikmnjncrjc4f/app.bsky.feed.post/3mtzzxumpas2j,at://did:plc:jwsylb6dmzjkikmnjncrjc4f/app.bsky.feed.post/3mu2yu74kis2e
274aca8ec9db3ed4,"Watch me get pounded deep and raw by this huge cock, begging for more of that hot cum!"" 😈🍆💦

Warning: it s addictive 🥵😵 https://xcit.top/xxltwinks 
#twink #gayporn ","Hard and desperate for daddy's cock, this twink slut will do anything to get fucked raw. #submissivetwink #filthyfuckto

Warning: it s addictive 🥵😵 https://xcit.top/xxltwinks 
#twink #gayporn ",Y,13,0,13,inf,1.0053,xxltwinks.bsky.social,xcit.top/xxltwinks,at://did:plc:i3da53ktqoedmzsju57lo2ud/app.bsky.feed.post/3mu2sik3kxp2q,at://did:plc:i3da53ktqoedmzsju57lo2ud/app.bsky.feed.post/3mu2vufm6jy26
a59550a9d61d1a37,"Emmanuel Macron, Yaël Braun-Pivet et Gérard Larcher minimisent le scandale Epstein. OFF a enquêté sur les relations embarrassantes du prédateur sexuel américain avec le monde du renseignement. C’est notre nouveau docu : « Epstein, prédateur et espion ». ⤵️","🗣️ ""Il y a en France une sorte de culture du viol""

De Jack Lang à la banquière Ariane de Rothschild, en passant par un ancien conseiller de Nicolas Sarkozy, découvrez les VIP français qui fréquentaient Jeffrey Epstein.

🎬 « EPSTEIN, prédateur et espion »
➡️ off-investigation.fr/jeffrey-epst...",X,113,17,96,6.6471,3.9824,offinvestigation.bsky.social,off-investigation.fr/jeffrey-epstein-predateur-sexuel-et-espion,at://did:plc:mpfh5hnnqfowzzfb7sbutv3i/app.bsky.feed.post/3mu2inbycas2j,at://did:plc:mpfh5hnnqfowzzfb7sbutv3i/app.bsky.feed.post/3mu2vykm3xs2x
60f9e58294508d50,"Mike Rogers' opponent went on Fox News and called him ""a beta."" On their own air. Monday night.

www.dworkinsubstack.com/p/trump-came...","Abdul El-Sayed went on Fox News and told Jesse Watters to his face he hadn't asked a single question about Michigan. Monday night.

www.dworkinsubstack.com/p/trump-came...",Y,31,7,24,4.4286,0.027,dworkin.bsky.social,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34m5jtmc2m,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34p273ck2m
20f62c2f69d5d853,"“The Charlie Kirk situation caused … institutions to completely have this meltdown of cowardice, fear, temporary insanity. Now, they’re facing the year-long Charlie Kirk hangover.""","""Without the union, you’re naked. You have no protection."" 

How @karenattiah.bsky.social fought the Washington Post—and won",X,364,48,316,7.5833,3.0729,motherjones.com,motherjones.com/politics/2026/08/karen-attiah-washington-post-charlie-kirk-reinstated,at://did:plc:qobvnkudcv3zlaklxxjduqoi/app.bsky.feed.post/3mu2xfdrpky2r,at://did:plc:qobvnkudcv3zlaklxxjduqoi/app.bsky.feed.post/3mu3bowqcbc2j
5d61e3c5c40827b4,"🛎️NNNより【速報】です。

【速報】福岡市でインフルエンザ流行入り 去年より2週間ほど早く
(2026-08-27 16:15) #ニュース

😷感染症情報
🔗https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/infulenza/index.html","🛎️NNNより【速報】です。

【速報】インフルエンザが早くも流行シーズン入り 過去10年で一番早い流行 北海道
(2026-08-27 16:26) #ニュース

😷感染症情報
🔗https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/infulenza/index.html",Y,12,0,12,inf,0.177,sokuho.news,mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/infulenza/index.html,at://did:plc:flczgiu3a2jqmqlk54qnbf4c/app.bsky.feed.post/3mu2chkwceg2d,at://did:plc:flczgiu3a2jqmqlk54qnbf4c/app.bsky.feed.post/3mu2d2knwlh2d
