pair_id,correct_answer,winner_reposts,loser_reposts,repost_margin,winner_loser_ratio,publication_gap_hours,handle,target,source_a_uri,source_b_uri
c3484a9e73fb907c,Y,8,0,8,inf,0.0569,dkmunro.bsky.social,theglobeandmail.com/canada/article-ottawa-taps-64-leading-scientists-and-scholars-to-bolster-canadian,at://did:plc:v62ecyjy45xbh7mlbvwy2g7n/app.bsky.feed.post/3mu2sxq2nss2r,at://did:plc:v62ecyjy45xbh7mlbvwy2g7n/app.bsky.feed.post/3mu2t5tevms2r
a2c9e9571521ab4f,X,19,4,15,4.75,10.4148,vostok.estudiovostok.com.br,rifa.digital/s/equipamentos-para-o-vostok/rhixF2Y0xDi,at://did:plc:7ysc3kheoofy6xt24qokd4y7/app.bsky.feed.post/3mtzqssgkp223,at://did:plc:7ysc3kheoofy6xt24qokd4y7/app.bsky.feed.post/3mu2tq6pq722r
f8932eb5a9caa8c6,Y,65,25,40,2.6,0.0593,jenrubin.bsky.social,open.substack.com/pub/contrarian/p/facts-trump-doesnt-need-no-stinkin?r=230tr,at://did:plc:6uimut56ihor2p6ubnepkudz/app.bsky.feed.post/3mu2tv2hlls2o,at://did:plc:6uimut56ihor2p6ubnepkudz/app.bsky.feed.post/3mu2u3g2zqc2l
a53e79dfff577c65,X,9,0,9,inf,0.0545,connieskp.bsky.social,disinfowatch.org/wp-content/uploads/2026/05/Alberta-and-Foreign-Interference-Report-Final-052026-web.pdf,at://did:plc:hijbeizbm5ege43fnm6aqhee/app.bsky.feed.post/3mtzrtlkihc2x,at://did:plc:hijbeizbm5ege43fnm6aqhee/app.bsky.feed.post/3mtzrzgt35k2x
e1a589042894448b,Y,71,10,61,7.1,0.6178,divyampersaud.com,chuffed.org/project/erc,at://did:plc:7vb3nqbwxsgxzvukuddgttrw/app.bsky.feed.post/3mtzqszezuz2i,at://did:plc:7vb3nqbwxsgxzvukuddgttrw/app.bsky.feed.post/3mtzsvciw5s22
721e1de6e3e7b9c5,X,13,6,7,2.1667,3.026,liberalcurrents.com,liberalcurrents.com/extremely-online-2-0,at://did:plc:ifsuximqaivczh4fie2opnuk/app.bsky.feed.post/3mu2qcyh6cs2x,at://did:plc:ifsuximqaivczh4fie2opnuk/app.bsky.feed.post/3mu32hnaggk2d
a338b21e6c21ce4e,Y,83,32,51,2.5938,0.9696,hwww2-yves.bsky.social,docs.google.com/document/d/1lzOyIyd-d7Zl6NS_T4lkUotyGowWMr-nGO05qupmdZE/edit?usp=drivesdk,at://did:plc:uk4m45qfhdzfim2ckqybtnql/app.bsky.feed.post/3mu2u6gt2y22q,at://did:plc:uk4m45qfhdzfim2ckqybtnql/app.bsky.feed.post/3mu2xghl3m227
5c9c6684eaa1a871,X,12,5,7,2.4,9.4037,amtrax.bsky.social,youtu.be/m8fraTW5pDI,at://did:plc:7dktlg2jitmjjfismzyxzq2g/app.bsky.feed.post/3mu2aqfcup224,at://did:plc:7dktlg2jitmjjfismzyxzq2g/app.bsky.feed.post/3mu3abccjsc2m
5cc2340d9451f5ae,Y,31,13,18,2.3846,0.0235,dworkin.bsky.social,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34jmvffc2m,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34m5jtmc2m
279981655ed06ddf,X,14,4,10,3.5,0.8311,kachelmannwetter.com,youtube.com/watch?v=OSYMM8-wL88,at://did:plc:efq5p3kzojiykjuowfzlaaa7/app.bsky.feed.post/3mu35emgzr22c,at://did:plc:efq5p3kzojiykjuowfzlaaa7/app.bsky.feed.post/3mu3a5ruwqs26
0a298ab0e0cb17f8,Y,18,4,14,4.5,8.9929,mcduff.bsky.social,spot.fund/drb68q8sc,at://did:plc:ajs44axlbhbcfeox6p25cjqs/app.bsky.feed.post/3mu27zsa4bc2p,at://did:plc:ajs44axlbhbcfeox6p25cjqs/app.bsky.feed.post/3mu366mqr2k24
0e3da3b4d99e4d1e,X,14,5,9,2.8,0.0211,gkids.com,brnw.ch/21x5fM5,at://did:plc:axd6rc7a663r6iua6vh7qfom/app.bsky.feed.post/3mu2zhjnmgk2l,at://did:plc:axd6rc7a663r6iua6vh7qfom/app.bsky.feed.post/3mu2zjrwoyc2l
47a851128ca2d101,Y,9,0,9,inf,4.0954,toplandscaper.eurosky.social,secure.avaaz.org/campaign/en/justice_for_hind_rajab_rb_loc?copy=&referer_id=01a042737597752eac9e5b0d98e92f08&share_location=post_action,at://did:plc:gia6fkjy7gi5n7g24nhct4zw/app.bsky.feed.post/3mu2ihx42u225,at://did:plc:gia6fkjy7gi5n7g24nhct4zw/app.bsky.feed.post/3mu2w7dnros2e
cb5272120978471d,X,12,4,8,3.0,0.5725,sokuho.news,mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/infulenza/index.html,at://did:plc:flczgiu3a2jqmqlk54qnbf4c/app.bsky.feed.post/3mu2d2knwlh2d,at://did:plc:flczgiu3a2jqmqlk54qnbf4c/app.bsky.feed.post/3mu2exydval24
e658351a05104adb,Y,10,5,5,2.0,1.0367,sparkshocker.bsky.social,cash.app/$RainLune93,at://did:plc:dy5gzjwxey5agldgerrdaxja/app.bsky.feed.post/3mtzsl6orc22r,at://did:plc:dy5gzjwxey5agldgerrdaxja/app.bsky.feed.post/3mtzw2fznws2r
074cc97adfff44ad,X,9,4,5,2.25,9.2119,midnight0wl.bsky.social,venmo.com/toadlyturtle,at://did:plc:jwsylb6dmzjkikmnjncrjc4f/app.bsky.feed.post/3mtzzxumpas2j,at://did:plc:jwsylb6dmzjkikmnjncrjc4f/app.bsky.feed.post/3mu2yu74kis2e
274aca8ec9db3ed4,Y,13,0,13,inf,1.0053,xxltwinks.bsky.social,xcit.top/xxltwinks,at://did:plc:i3da53ktqoedmzsju57lo2ud/app.bsky.feed.post/3mu2sik3kxp2q,at://did:plc:i3da53ktqoedmzsju57lo2ud/app.bsky.feed.post/3mu2vufm6jy26
a59550a9d61d1a37,X,113,17,96,6.6471,3.9824,offinvestigation.bsky.social,off-investigation.fr/jeffrey-epstein-predateur-sexuel-et-espion,at://did:plc:mpfh5hnnqfowzzfb7sbutv3i/app.bsky.feed.post/3mu2inbycas2j,at://did:plc:mpfh5hnnqfowzzfb7sbutv3i/app.bsky.feed.post/3mu2vykm3xs2x
60f9e58294508d50,Y,31,7,24,4.4286,0.027,dworkin.bsky.social,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34m5jtmc2m,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34p273ck2m
20f62c2f69d5d853,X,364,48,316,7.5833,3.0729,motherjones.com,motherjones.com/politics/2026/08/karen-attiah-washington-post-charlie-kirk-reinstated,at://did:plc:qobvnkudcv3zlaklxxjduqoi/app.bsky.feed.post/3mu2xfdrpky2r,at://did:plc:qobvnkudcv3zlaklxxjduqoi/app.bsky.feed.post/3mu3bowqcbc2j
5d61e3c5c40827b4,Y,12,0,12,inf,0.177,sokuho.news,mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/infulenza/index.html,at://did:plc:flczgiu3a2jqmqlk54qnbf4c/app.bsky.feed.post/3mu2chkwceg2d,at://did:plc:flczgiu3a2jqmqlk54qnbf4c/app.bsky.feed.post/3mu2d2knwlh2d
15910fb0a38b862a,X,8,1,7,8.0,4.3964,elpais.com,elpais.com/opinion/2026-08-27/un-hecho-notorio-en-elche.html,at://did:plc:u6mkbcgviwlbhuwqirmhcgu3/app.bsky.feed.post/3mu2t7dkib52e,at://did:plc:u6mkbcgviwlbhuwqirmhcgu3/app.bsky.feed.post/3mu3bx2c2rz2t
484f076badb2d65a,Y,23,6,17,3.8333,0.767,liberalcurrents.com,liberalcurrents.com/extremely-online-2-0,at://did:plc:ifsuximqaivczh4fie2opnuk/app.bsky.feed.post/3mu2nqpccns2j,at://did:plc:ifsuximqaivczh4fie2opnuk/app.bsky.feed.post/3mu2qcyh6cs2x
2ed43a45e92dddc5,X,105,23,82,4.5652,0.0434,dworkin.bsky.social,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu342fj4dk2m,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu3472gy5k2m
f3c2999a80704a8b,Y,68,1,67,68.0,4.7561,indrapramitdas.bsky.social,chuffed.org/project/omshamm,at://did:plc:k6syqg577dr3nyrsevahuqmj/app.bsky.feed.post/3mu2hduoe3k2a,at://did:plc:k6syqg577dr3nyrsevahuqmj/app.bsky.feed.post/3mu2xc5gask2g
5d8a1bfafe789be8,X,12,6,6,2.0,0.6077,dominicpiper.bsky.social,mybook.to/LikeBottledFire,at://did:plc:txlzectspmjxs62oo7gy2tef/app.bsky.feed.post/3mu2mgt7pik2x,at://did:plc:txlzectspmjxs62oo7gy2tef/app.bsky.feed.post/3mu2ohzi3jk2x
27e6e686603dfbca,Y,13,1,12,13.0,1.0021,xxltwinks.bsky.social,xcit.top/xxltwinks,at://did:plc:i3da53ktqoedmzsju57lo2ud/app.bsky.feed.post/3mu2vufm6jy26,at://did:plc:i3da53ktqoedmzsju57lo2ud/app.bsky.feed.post/3mu2z7w4kys2a
e388af451a80832a,X,12,4,8,3.0,0.2838,divyampersaud.com,chuffed.org/project/erc,at://did:plc:7vb3nqbwxsgxzvukuddgttrw/app.bsky.feed.post/3mu2uszrsek2z,at://did:plc:7vb3nqbwxsgxzvukuddgttrw/app.bsky.feed.post/3mu2vrnlcn226
b38fa3b71baf3620,Y,341,9,332,37.8889,1.155,vegaparticular.bsky.social,secure.avaaz.org/community_petitions/en/ayuntamiento_de_baldellou_cancelacion_urgente_festival_own_spirit,at://did:plc:cfqyyqvek7thvj7qbtbr5gbr/app.bsky.feed.post/3mu2mp27ebk2n,at://did:plc:cfqyyqvek7thvj7qbtbr5gbr/app.bsky.feed.post/3mu2qkxinck23
775592bb2e42507b,X,9,0,9,inf,3.9629,toplandscaper.eurosky.social,secure.avaaz.org/campaign/en/justice_for_hind_rajab_rb_loc?copy=&referer_id=01a042737597752eac9e5b0d98e92f08&share_location=post_action,at://did:plc:gia6fkjy7gi5n7g24nhct4zw/app.bsky.feed.post/3mu2ihx42u225,at://did:plc:gia6fkjy7gi5n7g24nhct4zw/app.bsky.feed.post/3mu2vr4p5pk2e
efba72d30145fc8a,Y,336,16,320,21.0,0.0633,charlesornstein.bsky.social,propublica.org/article/immigrants-rebooking-ice-jails-florida,at://did:plc:sblju4a66qwthmosnm4m7k4e/app.bsky.feed.post/3mu34ufg6ec2s,at://did:plc:sblju4a66qwthmosnm4m7k4e/app.bsky.feed.post/3mu3536n23s2u
fd816af874e8a430,X,12,1,11,12.0,0.9737,bluevirginia.bsky.social,bluevirginia.us/2026/08/thursday-8-27-news-roundup-climate-crisis-likely-contributed-to-nepal-glacier-collapse-disaster-ratcliffe-went-to-moscow-to-warn-putin,at://did:plc:mlan7kocyn37uzb25btjt2cc/app.bsky.feed.post/3mu2zytjelk2x,at://did:plc:mlan7kocyn37uzb25btjt2cc/app.bsky.feed.post/3mu35bcfzlk2p
d21359aaffb4d2a0,Y,12,6,6,2.0,2.9773,nhc-atlantic.extwitter.link,t.co/GrztW6mQJV,at://did:plc:54g3g4zsuuaub7j4vx6ij3zg/app.bsky.feed.post/3mu2su3hnjw2a,at://did:plc:54g3g4zsuuaub7j4vx6ij3zg/app.bsky.feed.post/3mu34tjexbw2t
3e0e5d764764668a,X,37,2,35,18.5,0.3425,andrewchak.bsky.social,thehill.com/opinion/international/6051039-senate-passes-graham-sanctions,at://did:plc:syfp4fi6s6oijh7be6qfjhfv/app.bsky.feed.post/3mu35ir2cw22l,at://did:plc:syfp4fi6s6oijh7be6qfjhfv/app.bsky.feed.post/3mu36nisvak27
8b4bf261282fe1a3,Y,1203,1,1202,1203.0,1.6877,floodlightnews.org,floodlightnews.org/new-jersey-data-center-federal-violation,at://did:plc:jyhnnepeeg2ola7fkgt2yjln/app.bsky.feed.post/3mu346btmye2j,at://did:plc:jyhnnepeeg2ola7fkgt2yjln/app.bsky.feed.post/3mu3bte5xnt2t
f96eb0ad1cb842f4,X,23,3,20,7.6667,4.2085,dbollero.bsky.social,publico.es/opinion/columnas/moreno-bonilla-oculta-lucha-narcotrafico.html?via=publico_es,at://did:plc:jqxy4e3h3mv67jqplysbwsch/app.bsky.feed.post/3mu22dgicj22m,at://did:plc:jqxy4e3h3mv67jqplysbwsch/app.bsky.feed.post/3mu2igxe44c2f
8ebd21e36cf9c7a1,Y,13,0,13,inf,11.6927,jurymgmt.bsky.social,static.klipy.com/ii/935d7ab9d8c6202580a668421940ec81/1e/f5/HWbQHmuW.gif?hh=161&mp4=v6DnYV7n&webm=vZTSvtp0ysiT04f2Y&ww=220,at://did:plc:yjzbwtf5ikxxifew7yrycxff/app.bsky.feed.post/3mtzsi7uohs2l,at://did:plc:yjzbwtf5ikxxifew7yrycxff/app.bsky.feed.post/3mu2zopl4uc2l
2742ad35ddf29400,X,30,9,21,3.3333,1.912,statuesque.bsky.social,kickstarter.com/projects/statuesque/cloth-trows,at://did:plc:phwutxn6uq452kifa3ur7g5g/app.bsky.feed.post/3mu2p2ubk7s2d,at://did:plc:phwutxn6uq452kifa3ur7g5g/app.bsky.feed.post/3mu2vhyqoq22d
87e490c77cdbc2d6,Y,9,3,6,3.0,5.6616,mekcho92.bsky.social,hunqz.com/escort/Mekcho0…,at://did:plc:wk2puenzix7sxrcfsp4ez7ad/app.bsky.feed.post/3mu27ucwfjk2h,at://did:plc:wk2puenzix7sxrcfsp4ez7ad/app.bsky.feed.post/3mu2stqdyes2q
75a01947fc733bf7,X,11,1,10,11.0,3.5611,drandrewboswell.bsky.social,nationalsustainabilitynews.co.uk/Scientists-carbon-obligations-rosebank.php,at://did:plc:ptqsmvmjxpzupiuch6sx6xey/app.bsky.feed.post/3mu27hjf5ec2u,at://did:plc:ptqsmvmjxpzupiuch6sx6xey/app.bsky.feed.post/3mu2lfle7vc2y
07c356ded676bd2a,Y,14,1,13,14.0,2.2553,okane.fyi,techcrunch.com/2026/08/27/sprains-pain-and-whiplash-waymo-and-zoox-test-drivers-are-getting-hurt-as-robotaxis-scale,at://did:plc:4jphg72g3zncjlbpvvagqvbs/app.bsky.feed.post/3mu33bonmw324,at://did:plc:4jphg72g3zncjlbpvvagqvbs/app.bsky.feed.post/3mu3ctnudem2k
b7fa8b3f3e827ae2,X,23,0,23,inf,9.7032,kakuri.bsky.social,shueisha.online/articles/-/258476,at://did:plc:hz2vuqu4jqvzzdtmasnojxnb/app.bsky.feed.post/3mtzzaqkysc2u,at://did:plc:hz2vuqu4jqvzzdtmasnojxnb/app.bsky.feed.post/3mu2zrruwus2j
4b1c4a3a6cd12275,Y,69,33,36,2.0909,0.3491,dworkin.bsky.social,tinyurl.com/3f3m728j,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu2rr25pkk2m,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu2swiolkc2m
280df8f69530fd04,X,57,0,57,inf,2.848,julesssnextdoor.bsky.social,chaturbate.com/julesssnextdoor,at://did:plc:ruoxyu6lf4rjzec7ucof6vrv/app.bsky.feed.post/3mu23yggd5227,at://did:plc:ruoxyu6lf4rjzec7ucof6vrv/app.bsky.feed.post/3mu2fjy6mw22v
676065ef06a2a060,Y,105,26,79,4.0385,0.025,dworkin.bsky.social,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu33xpnap22m,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu342fj4dk2m
3be26f63284ddb54,X,9,3,6,3.0,0.1989,natashalennard.bsky.social,theintercept.com/2026/08/27/trump-us-mexico-border-wall-tree-sit-arizona,at://did:plc:i5sk7zx23dffzqsxafl76hqw/app.bsky.feed.post/3mu3awqm2e22k,at://did:plc:i5sk7zx23dffzqsxafl76hqw/app.bsky.feed.post/3mu3bm3mcqk2k
f4087b097869875b,Y,11,5,6,2.2,1.543,drandrewboswell.bsky.social,nationalsustainabilitynews.co.uk/Scientists-carbon-obligations-rosebank.php,at://did:plc:ptqsmvmjxpzupiuch6sx6xey/app.bsky.feed.post/3mu27hjf5ec2u,at://did:plc:ptqsmvmjxpzupiuch6sx6xey/app.bsky.feed.post/3mu2en2q6sk2y
f6ab372d484347df,X,11,5,6,2.2,2.6509,limitbreakcomics.bsky.social,zoop.gg/c/bumpinthenight,at://did:plc:mzq2thimnfznetmhyivc6bsc/app.bsky.feed.post/3mu2u4qhmuk2f,at://did:plc:mzq2thimnfznetmhyivc6bsc/app.bsky.feed.post/3mu34z5r5f22o
a5cc1c008d2b4501,Y,15,6,9,2.5,6.0805,everydoctor.org.uk,everydoctor.eaction.org.uk/save-the-nhs-write-to-yvette-cooper,at://did:plc:x3yhyw5sdhzk4w7f7vh2fhnt/app.bsky.feed.post/3mu2lsuiky52y,at://did:plc:x3yhyw5sdhzk4w7f7vh2fhnt/app.bsky.feed.post/3mu3a7acxwp2a
de77f050895493a3,X,10,4,6,2.5,1.1279,marcianobrito.bsky.social,revistaforum.com.br/brasil/andre-mendonca-salario-media,at://did:plc:dk644jtqur3mvxphdwuawi25/app.bsky.feed.post/3mu32naylrc25,at://did:plc:dk644jtqur3mvxphdwuawi25/app.bsky.feed.post/3mu36gbcc2c26
f4624eaee6ddaaac,Y,16,4,12,4.0,1.8334,kff.org,on.kff.org/4y0pRuZ,at://did:plc:zpwka3ky6phhcwmwor4tu5xj/app.bsky.feed.post/3mu32mg47ql2z,at://did:plc:zpwka3ky6phhcwmwor4tu5xj/app.bsky.feed.post/3mu3ar4ghjm2r
c9ebcf9e1321b026,X,22,4,18,5.5,1.7107,divyampersaud.com,chuffed.org/project/erc,at://did:plc:7vb3nqbwxsgxzvukuddgttrw/app.bsky.feed.post/3mu2p3iqgpi2u,at://did:plc:7vb3nqbwxsgxzvukuddgttrw/app.bsky.feed.post/3mu2uszrsek2z
320dc0d615cc1c3a,Y,11,4,7,2.75,5.0071,lamarea.com,lamarea.com/2026/08/26/mujeres-saharauis,at://did:plc:qc3al5f4zcp4h4trgrzntvby/app.bsky.feed.post/3mu2d2hhp4v2j,at://did:plc:qc3al5f4zcp4h4trgrzntvby/app.bsky.feed.post/3mu2tto4hlj2t
52e8d756b18a46c9,X,23,5,18,4.6,4.463,liberalcurrents.com,liberalcurrents.com/extremely-online-2-0,at://did:plc:ifsuximqaivczh4fie2opnuk/app.bsky.feed.post/3mu26ruwqd72k,at://did:plc:ifsuximqaivczh4fie2opnuk/app.bsky.feed.post/3mu2nqpccns2j
1fad5d5e604ddcb3,Y,18,2,16,9.0,0.3488,mikemadowitz.bsky.social,rooseveltinstitute.org/publications/parents-need-childcare-they-can-count-on-new-evidence-on-childcare-related-work-disruptions-and-mothers-employment,at://did:plc:v7zhi5jtvirsxlvoixvt672w/app.bsky.feed.post/3mu2wy2odnc24,at://did:plc:v7zhi5jtvirsxlvoixvt672w/app.bsky.feed.post/3mu2y5i2vjk2b
